ARTNR;PFAD;BILDNUMMER;
031100-004;https://best-nutrition.de/media/image/product/257/lg/chiba-40400-power-schwarz-xl~2.jpg;2;
031100-005;https://best-nutrition.de/media/image/product/258/lg/chiba-40400-power-schwarz-xxl.jpg;1; 
031100-005;https://best-nutrition.de/media/image/product/258/lg/chiba-40400-power-schwarz-xxl~2.jpg;2;
031200;https://best-nutrition.de/media/image/product/259/lg/chiba-40400-power-schwarz-gelb.jpg;1;
031300;https://best-nutrition.de/media/image/product/265/lg/chiba-30410-athletic-schwarz.jpg;1; 
031300;https://best-nutrition.de/media/image/product/265/lg/chiba-30410-athletic-schwarz~2.jpg;2;
031300-001;https://best-nutrition.de/media/image/product/266/lg/chiba-30410-athletic-schwarz-s.jpg;1; 
031300-001;https://best-nutrition.de/media/image/product/266/lg/chiba-30410-athletic-schwarz-s~2.jpg;2;
031300-002;https://best-nutrition.de/media/image/product/267/lg/chiba-30410-athletic-schwarz-m.jpg;1; 
031300-002;https://best-nutrition.de/media/image/product/267/lg/chiba-30410-athletic-schwarz-m~2.jpg;2;
031300-003;https://best-nutrition.de/media/image/product/268/lg/chiba-30410-athletic-schwarz-l.jpg;1; 
031300-003;https://best-nutrition.de/media/image/product/268/lg/chiba-30410-athletic-schwarz-l~2.jpg;2;
031300-004;https://best-nutrition.de/media/image/product/269/lg/chiba-30410-athletic-schwarz-xl.jpg;1; 
031300-004;https://best-nutrition.de/media/image/product/269/lg/chiba-30410-athletic-schwarz-xl~2.jpg;2;
031300-005;https://best-nutrition.de/media/image/product/270/lg/chiba-30410-athletic-schwarz-xxl.jpg;1; 
031300-005;https://best-nutrition.de/media/image/product/270/lg/chiba-30410-athletic-schwarz-xxl~2.jpg;2;
031400;https://best-nutrition.de/media/image/product/271/lg/chiba-30410-athletic-braun.jpg;1; 
031400;https://best-nutrition.de/media/image/product/271/lg/chiba-30410-athletic-braun~2.jpg;2;
031400-001;https://best-nutrition.de/media/image/product/272/lg/chiba-30410-athletic-braun-xs.jpg;1; 
031400-001;https://best-nutrition.de/media/image/product/272/lg/chiba-30410-athletic-braun-xs~2.jpg;2;
031400-002;https://best-nutrition.de/media/image/product/273/lg/chiba-30410-athletic-braun-s.jpg;1; 
031400-002;https://best-nutrition.de/media/image/product/273/lg/chiba-30410-athletic-braun-s~2.jpg;2;
031400-003;https://best-nutrition.de/media/image/product/274/lg/chiba-30410-athletic-braun-m.jpg;1; 
031400-003;https://best-nutrition.de/media/image/product/274/lg/chiba-30410-athletic-braun-m~2.jpg;2;
031400-004;https://best-nutrition.de/media/image/product/275/lg/chiba-30410-athletic-braun-l.jpg;1; 
031400-004;https://best-nutrition.de/media/image/product/275/lg/chiba-30410-athletic-braun-l~2.jpg;2;
031400-005;https://best-nutrition.de/media/image/product/276/lg/chiba-30410-athletic-braun-xl.jpg;1; 
031400-005;https://best-nutrition.de/media/image/product/276/lg/chiba-30410-athletic-braun-xl~2.jpg;2;
